duelist_id,duelist,position,card_id,card,rate,card_url
4,Villager1,1,516,Muka Muka,0.10%,https://yugioh-fm-db.pages.dev/cards/516
4,Villager1,2,485,Korogashi,0.10%,https://yugioh-fm-db.pages.dev/cards/485
4,Villager1,3,563,Wretched Ghost of the Attic,0.10%,https://yugioh-fm-db.pages.dev/cards/563
4,Villager1,4,541,Hane-Hane,0.10%,https://yugioh-fm-db.pages.dev/cards/541
4,Villager1,5,167,Ancient Jar,5.86%,https://yugioh-fm-db.pages.dev/cards/167
4,Villager1,6,488,Rainbow Flower,0.10%,https://yugioh-fm-db.pages.dev/cards/488
4,Villager1,7,504,Fungi of the Musk,0.10%,https://yugioh-fm-db.pages.dev/cards/504
4,Villager1,8,548,Bone Mouse,0.10%,https://yugioh-fm-db.pages.dev/cards/548
4,Villager1,9,558,Pot the Trick,0.10%,https://yugioh-fm-db.pages.dev/cards/558
4,Villager1,10,644,Flame Viper,0.10%,https://yugioh-fm-db.pages.dev/cards/644
4,Villager1,11,547,Griggle,0.10%,https://yugioh-fm-db.pages.dev/cards/547
4,Villager1,12,635,Queen's Double,0.10%,https://yugioh-fm-db.pages.dev/cards/635
4,Villager1,13,24,Skull Servant,7.81%,https://yugioh-fm-db.pages.dev/cards/24
4,Villager1,14,58,Kuriboh,7.81%,https://yugioh-fm-db.pages.dev/cards/58
4,Villager1,15,395,Dancing Elf,7.81%,https://yugioh-fm-db.pages.dev/cards/395
4,Villager1,16,398,Ooguchi,7.81%,https://yugioh-fm-db.pages.dev/cards/398
4,Villager1,17,469,Armed Ninja,5.86%,https://yugioh-fm-db.pages.dev/cards/469
4,Villager1,18,475,Sinister Serpent,5.86%,https://yugioh-fm-db.pages.dev/cards/475
4,Villager1,19,484,Ameba,0.10%,https://yugioh-fm-db.pages.dev/cards/484
4,Villager1,20,527,Milus Radiant,5.86%,https://yugioh-fm-db.pages.dev/cards/527
4,Villager1,21,393,Zone Eater,7.81%,https://yugioh-fm-db.pages.dev/cards/393
4,Villager1,22,394,Steel Scorpion,7.81%,https://yugioh-fm-db.pages.dev/cards/394
4,Villager1,23,399,Swordsman from a Foreign Land,7.81%,https://yugioh-fm-db.pages.dev/cards/399
4,Villager1,24,402,Monster Eye,5.86%,https://yugioh-fm-db.pages.dev/cards/402
4,Villager1,25,499,Kattapillar,5.86%,https://yugioh-fm-db.pages.dev/cards/499
4,Villager1,26,339,Red Medicine,3.13%,https://yugioh-fm-db.pages.dev/cards/339
4,Villager1,27,350,Dark-piercing Light,5.86%,https://yugioh-fm-db.pages.dev/cards/350
2,Teana,1,9,Shadow Specter,0.10%,https://yugioh-fm-db.pages.dev/cards/9
2,Teana,2,56,Larvae Moth,0.10%,https://yugioh-fm-db.pages.dev/cards/56
2,Teana,3,105,Tomozaurus,0.10%,https://yugioh-fm-db.pages.dev/cards/105
2,Teana,4,197,Mech Mole Zombie,0.10%,https://yugioh-fm-db.pages.dev/cards/197
2,Teana,5,167,Ancient Jar,0.10%,https://yugioh-fm-db.pages.dev/cards/167
2,Teana,6,192,Key Mace,0.10%,https://yugioh-fm-db.pages.dev/cards/192
2,Teana,7,289,Change Slime,0.10%,https://yugioh-fm-db.pages.dev/cards/289
2,Teana,8,387,Mystic Lamp,0.10%,https://yugioh-fm-db.pages.dev/cards/387
2,Teana,9,24,Skull Servant,14.65%,https://yugioh-fm-db.pages.dev/cards/24
2,Teana,10,58,Kuriboh,14.65%,https://yugioh-fm-db.pages.dev/cards/58
2,Teana,11,123,Dark Plant,0.10%,https://yugioh-fm-db.pages.dev/cards/123
2,Teana,12,278,Petit Moth,0.10%,https://yugioh-fm-db.pages.dev/cards/278
2,Teana,13,395,Dancing Elf,14.65%,https://yugioh-fm-db.pages.dev/cards/395
2,Teana,14,397,Leghul,0.10%,https://yugioh-fm-db.pages.dev/cards/397
2,Teana,15,398,Ooguchi,0.10%,https://yugioh-fm-db.pages.dev/cards/398
2,Teana,16,393,Zone Eater,19.53%,https://yugioh-fm-db.pages.dev/cards/393
2,Teana,17,394,Steel Scorpion,0.10%,https://yugioh-fm-db.pages.dev/cards/394
2,Teana,18,399,Swordsman from a Foreign Land,14.65%,https://yugioh-fm-db.pages.dev/cards/399
2,Teana,19,402,Monster Eye,0.10%,https://yugioh-fm-db.pages.dev/cards/402
2,Teana,20,338,Mooyan Curry,14.65%,https://yugioh-fm-db.pages.dev/cards/338
2,Teana,21,344,Hinotama,5.86%,https://yugioh-fm-db.pages.dev/cards/344
3,Jono,1,4,Baby Dragon,0.10%,https://yugioh-fm-db.pages.dev/cards/4
3,Jono,2,100,Battle Warrior,0.10%,https://yugioh-fm-db.pages.dev/cards/100
3,Jono,3,29,Mountain Warrior,0.10%,https://yugioh-fm-db.pages.dev/cards/29
3,Jono,4,9,Shadow Specter,5.86%,https://yugioh-fm-db.pages.dev/cards/9
3,Jono,5,16,Time Wizard,0.10%,https://yugioh-fm-db.pages.dev/cards/16
