duelist_id,duelist,card_id,card,rank,rate,card_url
4,Villager1,234,Beautiful Headhuntress,S/A POW,0.59%,https://yugioh-fm-db.pages.dev/cards/234
4,Villager1,165,The Judgement Hand,S/A POW,0.59%,https://yugioh-fm-db.pages.dev/cards/165
4,Villager1,502,D. Human,S/A POW,0.59%,https://yugioh-fm-db.pages.dev/cards/502
4,Villager1,570,Trakadon,S/A POW,0.49%,https://yugioh-fm-db.pages.dev/cards/570
4,Villager1,435,Water Girl,S/A POW,0.59%,https://yugioh-fm-db.pages.dev/cards/435
4,Villager1,480,Kuwagata a,S/A POW,0.59%,https://yugioh-fm-db.pages.dev/cards/480
4,Villager1,112,That Which Feeds on Life,S/A POW,0.59%,https://yugioh-fm-db.pages.dev/cards/112
4,Villager1,241,Dark Assailant,S/A POW,0.59%,https://yugioh-fm-db.pages.dev/cards/241
4,Villager1,450,Kappa Avenger,S/A POW,0.59%,https://yugioh-fm-db.pages.dev/cards/450
4,Villager1,580,Patrol Robo,S/A POW,0.39%,https://yugioh-fm-db.pages.dev/cards/580
4,Villager1,146,Temple of Skulls,S/A POW,0.59%,https://yugioh-fm-db.pages.dev/cards/146
4,Villager1,153,Dokuroizo the Grim Reaper,S/A POW,0.59%,https://yugioh-fm-db.pages.dev/cards/153
4,Villager1,9,Shadow Specter,S/A POW,3.61%,https://yugioh-fm-db.pages.dev/cards/9
4,Villager1,9,Shadow Specter,B/C/D,3.71%,https://yugioh-fm-db.pages.dev/cards/9
4,Villager1,9,Shadow Specter,S/A TEC,2.93%,https://yugioh-fm-db.pages.dev/cards/9
4,Villager1,167,Ancient Jar,S/A POW,3.61%,https://yugioh-fm-db.pages.dev/cards/167
4,Villager1,167,Ancient Jar,B/C/D,3.71%,https://yugioh-fm-db.pages.dev/cards/167
4,Villager1,167,Ancient Jar,S/A TEC,2.93%,https://yugioh-fm-db.pages.dev/cards/167
4,Villager1,192,Key Mace,S/A POW,3.61%,https://yugioh-fm-db.pages.dev/cards/192
4,Villager1,192,Key Mace,B/C/D,3.71%,https://yugioh-fm-db.pages.dev/cards/192
4,Villager1,192,Key Mace,S/A TEC,2.93%,https://yugioh-fm-db.pages.dev/cards/192
4,Villager1,289,Change Slime,S/A POW,3.61%,https://yugioh-fm-db.pages.dev/cards/289
4,Villager1,289,Change Slime,B/C/D,3.71%,https://yugioh-fm-db.pages.dev/cards/289
4,Villager1,289,Change Slime,S/A TEC,2.93%,https://yugioh-fm-db.pages.dev/cards/289
4,Villager1,387,Mystic Lamp,S/A POW,3.61%,https://yugioh-fm-db.pages.dev/cards/387
4,Villager1,387,Mystic Lamp,B/C/D,3.71%,https://yugioh-fm-db.pages.dev/cards/387
4,Villager1,387,Mystic Lamp,S/A TEC,2.93%,https://yugioh-fm-db.pages.dev/cards/387
4,Villager1,504,Fungi of the Musk,S/A POW,3.61%,https://yugioh-fm-db.pages.dev/cards/504
4,Villager1,504,Fungi of the Musk,B/C/D,3.52%,https://yugioh-fm-db.pages.dev/cards/504
4,Villager1,504,Fungi of the Musk,S/A TEC,2.93%,https://yugioh-fm-db.pages.dev/cards/504
4,Villager1,548,Bone Mouse,S/A POW,3.61%,https://yugioh-fm-db.pages.dev/cards/548
4,Villager1,548,Bone Mouse,B/C/D,3.52%,https://yugioh-fm-db.pages.dev/cards/548
4,Villager1,548,Bone Mouse,S/A TEC,2.93%,https://yugioh-fm-db.pages.dev/cards/548
4,Villager1,558,Pot the Trick,S/A POW,3.61%,https://yugioh-fm-db.pages.dev/cards/558
4,Villager1,558,Pot the Trick,B/C/D,3.52%,https://yugioh-fm-db.pages.dev/cards/558
4,Villager1,558,Pot the Trick,S/A TEC,2.93%,https://yugioh-fm-db.pages.dev/cards/558
4,Villager1,547,Griggle,S/A POW,3.61%,https://yugioh-fm-db.pages.dev/cards/547
4,Villager1,547,Griggle,B/C/D,3.52%,https://yugioh-fm-db.pages.dev/cards/547
4,Villager1,547,Griggle,S/A TEC,2.93%,https://yugioh-fm-db.pages.dev/cards/547
4,Villager1,635,Queen's Double,S/A POW,3.61%,https://yugioh-fm-db.pages.dev/cards/635
4,Villager1,635,Queen's Double,B/C/D,3.66%,https://yugioh-fm-db.pages.dev/cards/635
4,Villager1,635,Queen's Double,S/A TEC,2.93%,https://yugioh-fm-db.pages.dev/cards/635
4,Villager1,24,Skull Servant,S/A POW,3.61%,https://yugioh-fm-db.pages.dev/cards/24
4,Villager1,24,Skull Servant,B/C/D,3.71%,https://yugioh-fm-db.pages.dev/cards/24
4,Villager1,24,Skull Servant,S/A TEC,2.93%,https://yugioh-fm-db.pages.dev/cards/24
4,Villager1,58,Kuriboh,S/A POW,3.61%,https://yugioh-fm-db.pages.dev/cards/58
4,Villager1,58,Kuriboh,B/C/D,3.71%,https://yugioh-fm-db.pages.dev/cards/58
4,Villager1,58,Kuriboh,S/A TEC,2.93%,https://yugioh-fm-db.pages.dev/cards/58
4,Villager1,123,Dark Plant,S/A POW,3.61%,https://yugioh-fm-db.pages.dev/cards/123
4,Villager1,123,Dark Plant,B/C/D,3.71%,https://yugioh-fm-db.pages.dev/cards/123
4,Villager1,123,Dark Plant,S/A TEC,2.93%,https://yugioh-fm-db.pages.dev/cards/123
4,Villager1,395,Dancing Elf,S/A POW,3.61%,https://yugioh-fm-db.pages.dev/cards/395
4,Villager1,395,Dancing Elf,B/C/D,3.66%,https://yugioh-fm-db.pages.dev/cards/395
4,Villager1,395,Dancing Elf,S/A TEC,2.93%,https://yugioh-fm-db.pages.dev/cards/395
4,Villager1,397,Leghul,S/A POW,3.61%,https://yugioh-fm-db.pages.dev/cards/397
4,Villager1,397,Leghul,B/C/D,3.66%,https://yugioh-fm-db.pages.dev/cards/397
4,Villager1,397,Leghul,S/A TEC,2.93%,https://yugioh-fm-db.pages.dev/cards/397
4,Villager1,398,Ooguchi,S/A POW,3.61%,https://yugioh-fm-db.pages.dev/cards/398
4,Villager1,398,Ooguchi,B/C/D,3.66%,https://yugioh-fm-db.pages.dev/cards/398
4,Villager1,398,Ooguchi,S/A TEC,2.93%,https://yugioh-fm-db.pages.dev/cards/398
4,Villager1,411,Bat,S/A POW,3.61%,https://yugioh-fm-db.pages.dev/cards/411
4,Villager1,411,Bat,B/C/D,3.66%,https://yugioh-fm-db.pages.dev/cards/411
4,Villager1,411,Bat,S/A TEC,2.93%,https://yugioh-fm-db.pages.dev/cards/411
4,Villager1,469,Armed Ninja,S/A POW,3.61%,https://yugioh-fm-db.pages.dev/cards/469
4,Villager1,469,Armed Ninja,B/C/D,3.66%,https://yugioh-fm-db.pages.dev/cards/469
4,Villager1,469,Armed Ninja,S/A TEC,2.93%,https://yugioh-fm-db.pages.dev/cards/469
4,Villager1,475,Sinister Serpent,S/A POW,3.61%,https://yugioh-fm-db.pages.dev/cards/475
4,Villager1,475,Sinister Serpent,B/C/D,3.66%,https://yugioh-fm-db.pages.dev/cards/475
4,Villager1,475,Sinister Serpent,S/A TEC,2.93%,https://yugioh-fm-db.pages.dev/cards/475
4,Villager1,484,Ameba,S/A POW,3.61%,https://yugioh-fm-db.pages.dev/cards/484
4,Villager1,484,Ameba,B/C/D,3.66%,https://yugioh-fm-db.pages.dev/cards/484
4,Villager1,484,Ameba,S/A TEC,2.93%,https://yugioh-fm-db.pages.dev/cards/484
4,Villager1,527,Milus Radiant,S/A POW,3.61%,https://yugioh-fm-db.pages.dev/cards/527
4,Villager1,527,Milus Radiant,B/C/D,3.52%,https://yugioh-fm-db.pages.dev/cards/527
4,Villager1,527,Milus Radiant,S/A TEC,2.93%,https://yugioh-fm-db.pages.dev/cards/527
4,Villager1,393,Zone Eater,S/A POW,3.61%,https://yugioh-fm-db.pages.dev/cards/393
4,Villager1,393,Zone Eater,B/C/D,3.71%,https://yugioh-fm-db.pages.dev/cards/393
4,Villager1,393,Zone Eater,S/A TEC,2.93%,https://yugioh-fm-db.pages.dev/cards/393
4,Villager1,399,Swordsman from a Foreign Land,S/A POW,3.61%,https://yugioh-fm-db.pages.dev/cards/399
4,Villager1,399,Swordsman from a Foreign Land,B/C/D,3.66%,https://yugioh-fm-db.pages.dev/cards/399
4,Villager1,399,Swordsman from a Foreign Land,S/A TEC,2.93%,https://yugioh-fm-db.pages.dev/cards/399
4,Villager1,402,Monster Eye,S/A POW,3.61%,https://yugioh-fm-db.pages.dev/cards/402
4,Villager1,402,Monster Eye,B/C/D,3.66%,https://yugioh-fm-db.pages.dev/cards/402
4,Villager1,402,Monster Eye,S/A TEC,2.93%,https://yugioh-fm-db.pages.dev/cards/402
4,Villager1,20,Left Arm of the Forbidden One,S/A POW,0.29%,https://yugioh-fm-db.pages.dev/cards/20
4,Villager1,20,Left Arm of the Forbidden One,B/C/D,0.29%,https://yugioh-fm-db.pages.dev/cards/20
4,Villager1,20,Left Arm of the Forbidden One,S/A TEC,0.29%,https://yugioh-fm-db.pages.dev/cards/20
4,Villager1,307,Elf's Light,S/A POW,0.78%,https://yugioh-fm-db.pages.dev/cards/307
4,Villager1,307,Elf's Light,B/C/D,0.88%,https://yugioh-fm-db.pages.dev/cards/307
4,Villager1,307,Elf's Light,S/A TEC,0.78%,https://yugioh-fm-db.pages.dev/cards/307
4,Villager1,308,Beast Fangs,S/A TEC,0.78%,https://yugioh-fm-db.pages.dev/cards/308
4,Villager1,309,Steel Shell,S/A TEC,0.78%,https://yugioh-fm-db.pages.dev/cards/309
4,Villager1,311,Black Pendant,S/A TEC,0.78%,https://yugioh-fm-db.pages.dev/cards/311
4,Villager1,312,Silver Bow and Arrow,S/A TEC,0.78%,https://yugioh-fm-db.pages.dev/cards/312
4,Villager1,323,Book of Secret Arts,B/C/D,0.88%,https://yugioh-fm-db.pages.dev/cards/323
4,Villager1,323,Book of Secret Arts,S/A TEC,0.78%,https://yugioh-fm-db.pages.dev/cards/323
4,Villager1,327,Follow Wind,S/A TEC,0.78%,https://yugioh-fm-db.pages.dev/cards/327
4,Villager1,332,Mountain,S/A POW,1.56%,https://yugioh-fm-db.pages.dev/cards/332
